product_id,product_name,category,subcategory,cost_price
1,Earum Plus,Home,Decor,435.26
2,Ipsum Pro,Home,Kitchen,3205.36
3,Placeat Classic,Electronics,Laptop,325.36
4,Odio Premium,Electronics,Laptop,2702.71
5,Iure Classic,Clothing,Men,3136.58
6,Sint Classic,Clothing,Women,2351.9
7,Unde Premium,Electronics,Laptop,2264.48
8,Inventore Premium,Home,Decor,1325.48
9,Voluptate Plus,Home,Kitchen,1968.69
10,Reprehenderit Premium,Home,Decor,4891.93
11,Dolor Pro,Books,Education,3748.88
12,Recusandae Plus,Electronics,Accessories,3901.13
13,Reiciendis Premium,Clothing,Kids,1328.07
14,Maiores Pro,Clothing,Kids,1613.77
15,Ipsam Premium,Books,Fiction,1546.04
16,Nobis Classic,Books,Fiction,4860.3
17,Dolores Premium,Home,Kitchen,4840.18
18,Ab Premium,Home,Decor,468.97
19,Ipsam Plus,Clothing,Kids,1892.3
20,Expedita Premium,Books,Fiction,3396.86
21,Est Plus,Home,Decor,630.9
22,Temporibus Pro,Clothing,Women,1707.23
23,Nostrum Pro,Clothing,Kids,3535.28
24,Harum Classic,Books,Fiction,4980.04
25,Magni Classic,Electronics,Mobile,2322.85
26,Deleniti Classic,Books,Comics,4185.1
27,Veritatis Pro,Books,Education,2279.01
28,Iure Pro,Clothing,Women,4518.31
29,Perferendis Plus,Home,Kitchen,4750.15
30,Officiis Classic,Books,Fiction,204.65
31,Occaecati Classic,Home,Kitchen,4166.11
32,Magnam Classic,Clothing,Kids,3894.41
33,Inventore Classic,Electronics,Laptop,4012.72
34,Placeat Pro,Electronics,Accessories,3963.31
35,Quod Classic,Home,Kitchen,2162.71
36,Corrupti Pro,Electronics,Accessories,2614.87
37,Doloribus Classic,Electronics,Laptop,3937.81
38,Tenetur Pro,Home,Furniture,2067.92
39,Sequi Plus,Electronics,Laptop,3080.66
40,Beatae Premium,Electronics,Mobile,3589.55
41,Hic Premium,Books,Comics,585.97
42,Deserunt Classic,Electronics,Accessories,2127.69
43,Quidem Plus,Books,Education,1631.37
44,Eius Classic,Home,Furniture,547.0
45,Fuga Plus,Electronics,Mobile,4077.67
46,Sunt Premium,Electronics,Accessories,4380.68
47,Autem Pro,Books,Comics,1823.07
48,Autem Plus,Clothing,Men,4242.33
49,Ad Premium,Home,Kitchen,4241.26
50,Quae Premium,Electronics,Accessories,3835.81
51,Suscipit Pro,Home,Furniture,3320.99
52,Aliquam Pro,Electronics,Mobile,1943.35
53,Repellendus Classic,Books,Education,3906.49
54,Repellendus Classic,Electronics,Mobile,3402.45
55,Necessitatibus Plus,Home,Furniture,1438.52
56,Rerum Plus,Electronics,Laptop,3006.36
57,Error Classic,Home,Kitchen,137.67
58,Amet Classic,Home,Kitchen,687.92
59,Quod Plus,Books,Comics,3547.99
60,Facilis Plus,Home,Kitchen,191.83
61,Quisquam Plus,Electronics,Laptop,2146.7
62,Quis Pro,Electronics,Laptop,4743.31
63,Optio Premium,Books,Comics,1292.25
64,Ullam Pro,Books,Comics,1763.62
65,Distinctio Pro,Home,Kitchen,2598.77
66,Maiores Classic,Home,Furniture,1066.63
67,Mollitia Pro,Clothing,Kids,2521.17
68,Et Premium,Books,Comics,839.69
69,Repudiandae Plus,Electronics,Laptop,2997.96
70,Illum Pro,Home,Decor,378.76
71,Deleniti Pro,Home,Kitchen,2367.29
72,Officiis Classic,Electronics,Laptop,839.22
73,Provident Pro,Electronics,Laptop,4913.69
74,Quaerat Classic,Electronics,Accessories,4955.83
75,Consectetur Premium,Clothing,Women,3894.88
76,Nam Premium,Electronics,Accessories,3424.06
77,Maiores Classic,Home,Furniture,793.0
78,Provident Plus,Home,Furniture,515.12
79,Accusamus Premium,Books,Comics,4161.9
80,Ut Plus,Electronics,Accessories,1613.44
81,Excepturi Plus,Clothing,Women,859.23
82,Sint Pro,Home,Kitchen,3128.35
83,Vitae Classic,Books,Fiction,3161.23
84,Doloremque Plus,Clothing,Kids,3625.97
85,Quam Premium,Books,Comics,1246.61
86,Deserunt Plus,Clothing,Women,3423.7
87,Occaecati Premium,Books,Education,2151.44
88,Dolore Classic,Clothing,Men,2454.89
89,Dolorum Pro,Home,Decor,710.92
90,Recusandae Premium,Electronics,Mobile,4172.13
91,Recusandae Plus,Electronics,Mobile,2132.99
92,Unde Premium,Books,Comics,1937.07
93,Dignissimos Pro,Electronics,Laptop,3977.77
94,Perspiciatis Premium,Clothing,Men,4172.44
95,Magnam Pro,Books,Education,1156.71
96,Animi Plus,Clothing,Kids,1575.64
97,Est Plus,Electronics,Mobile,407.76
98,Placeat Pro,Books,Comics,3620.87
99,Eveniet Pro,Home,Furniture,2141.18
100,At Premium,Electronics,Accessories,2585.91
101,Fuga Plus,Electronics,Laptop,1929.18
102,Maxime Pro,Electronics,Laptop,3178.46
103,Eveniet Pro,Home,Kitchen,3249.7
104,Animi Plus,Books,Comics,409.19
105,Velit Premium,Books,Fiction,4440.37
106,Enim Plus,Home,Furniture,1341.24
107,Quas Premium,Clothing,Women,3313.08
108,Magni Premium,Home,Kitchen,2254.71
109,Molestias Classic,Books,Education,4629.12
110,Optio Plus,Home,Kitchen,4129.47
111,Odit Pro,Home,Furniture,1601.83
112,Aperiam Plus,Books,Fiction,4363.18
113,Animi Plus,Home,Decor,4744.73
114,Totam Plus,Electronics,Accessories,3429.11
115,Iste Plus,Electronics,Mobile,3914.73
116,Corporis Plus,Home,Furniture,851.85
117,Voluptatibus Premium,Books,Education,774.71
118,Quasi Premium,Home,Furniture,655.9
119,Tempora Plus,Clothing,Women,3897.33
120,Harum Premium,Books,Fiction,1080.87
121,Fuga Plus,Clothing,Men,4986.59
122,Repellendus Premium,Home,Decor,1522.78
123,Quisquam Classic,Home,Kitchen,694.68
124,Reiciendis Classic,Clothing,Men,2814.71
125,Doloribus Classic,Home,Furniture,1615.52
126,Minus Plus,Books,Comics,461.38
127,Ullam Pro,Home,Decor,1788.12
128,Minus Plus,Clothing,Men,4173.81
129,Maiores Classic,Clothing,Women,1204.8
130,Repudiandae Premium,Home,Kitchen,1444.81
131,Ullam Pro,Home,Decor,4713.87
132,Autem Premium,Clothing,Men,4143.66
133,Quas Pro,Electronics,Mobile,1396.81
134,Explicabo Plus,Clothing,Kids,4456.08
135,Minus Premium,Home,Decor,3456.46
136,Et Pro,Home,Furniture,2136.55
137,Quas Premium,Books,Fiction,3619.98
138,Necessitatibus Classic,Home,Furniture,620.3
139,Libero Pro,Clothing,Women,574.38
140,Laborum Plus,Home,Furniture,882.53
141,Placeat Premium,Home,Decor,4980.25
142,Perspiciatis Premium,Books,Education,2026.89
143,Sed Classic,Books,Fiction,1478.65
144,Ab Pro,Books,Education,4424.03
145,Provident Premium,Home,Furniture,2852.9
146,Deserunt Premium,Home,Decor,3845.58
147,Nulla Pro,Home,Decor,1928.67
148,Doloremque Premium,Home,Decor,2594.7
149,Eum Pro,Electronics,Mobile,2421.35
150,Autem Classic,Books,Fiction,896.26
151,Quam Premium,Home,Decor,2500.25
152,Temporibus Pro,Home,Furniture,4901.5
153,Hic Pro,Home,Decor,3312.4
154,Error Pro,Clothing,Kids,3182.22
155,Distinctio Classic,Books,Fiction,638.49
156,Ea Premium,Electronics,Laptop,1099.07
157,Dolore Pro,Books,Comics,2848.35
158,Magni Plus,Books,Comics,4569.41
159,Sed Premium,Home,Decor,3435.65
160,Cumque Plus,Home,Decor,2834.62
161,Ut Premium,Clothing,Women,2496.12
162,Eum Premium,Books,Education,2761.64
163,Nesciunt Classic,Books,Education,3599.29
164,Iure Premium,Home,Furniture,4156.96
165,Cum Premium,Home,Decor,2975.47
166,Perspiciatis Classic,Clothing,Men,2125.18
167,Veniam Classic,Books,Fiction,4652.59
168,Perferendis Plus,Books,Comics,4823.18
169,Perferendis Pro,Home,Furniture,2913.25
170,Eos Plus,Electronics,Mobile,4606.21
171,Rerum Classic,Books,Education,4637.59
172,Dolorem Premium,Electronics,Mobile,4916.67
173,Tenetur Plus,Home,Furniture,2570.64
174,Neque Pro,Home,Kitchen,3276.6
175,Adipisci Premium,Clothing,Men,3810.69
176,Exercitationem Plus,Clothing,Kids,525.02
177,Aperiam Classic,Electronics,Mobile,133.47
178,Debitis Plus,Books,Fiction,1579.53
179,Rem Premium,Electronics,Laptop,679.3
180,Rerum Plus,Home,Kitchen,4450.23
181,Dolorem Pro,Home,Decor,1900.97
182,Deleniti Classic,Clothing,Men,4945.31
183,Suscipit Plus,Home,Furniture,4145.46
