item_id,order_id,product_id,quantity,unit_price,discount_percent
1,95,106,4,4543.65,2
2,76,191,3,3642.59,10
3,472,13,5,3296.04,31
4,476,164,2,1332.82,47
5,170,332,5,5673.07,30
6,387,294,3,5368.41,36
7,58,375,4,3883.95,2
8,60,158,2,295.89,39
9,48,168,2,534.77,41
10,114,401,2,7491.75,17
11,276,435,-2,3619.12,42
12,202,100,1,3974.68,38
13,29,466,5,5367.45,25
14,219,190,2,3150.29,0
15,158,229,3,7006.98,5
16,228,380,2,7941.52,28
17,373,497,3,7192.02,46
18,301,307,4,780.02,13
19,445,269,3,7894.44,4
20,46,4,5,3334.74,17
21,237,364,4,4586.54,8
22,196,149,2,4475.55,2
23,156,253,3,4518.32,29
24,2,79,-2,2175.15,40
25,341,458,4,2372.74,11
26,331,126,4,324.7,48
27,497,35,3,4831.24,23
28,224,445,5,2137.5,43
29,419,62,4,3048.3,46
30,133,84,-5,4695.07,9
31,355,70,3,2923.35,3
32,326,467,3,7645.74,3
33,328,480,3,706.93,12
34,307,386,2,1420.37,20
35,351,410,3,2478.47,43
36,297,181,3,6604.19,0
37,191,399,2,3930.7,21
38,80,258,2,1846.8,12
39,426,488,5,4252.66,34
40,411,59,5,3397.04,4
41,473,9,1,3888.19,19
42,227,456,3,7901.9,33
43,156,15,3,5981.24,7
44,356,73,2,5535.57,19
45,41,218,2,5557.46,50
46,397,248,1,6082.94,2
47,407,338,2,4156.49,3
48,130,23,4,623.35,42
49,401,64,1,7368.77,13
50,95,344,5,2877.12,5
51,483,143,2,7595.45,22
52,257,400,3,5855.58,15
53,51,420,5,4667.26,0
54,99,494,5,2326.67,48
55,372,51,-5,7401.43,32
56,302,95,4,3573.36,6
57,195,218,2,1792.76,14
58,161,64,4,3780.62,33
59,185,361,2,2377.34,46
60,253,60,1,3139.77,29
61,352,500,5,6744.61,14
62,438,220,5,1591.4,4
63,189,92,4,201.01,43
64,203,225,4,4229.03,43
65,203,206,1,5590.79,6
66,500,102,2,2775.19,38
67,430,218,4,5829.08,17
68,388,405,5,6427.78,25
69,309,487,3,3295.1,31
70,394,233,5,953.49,16
71,322,483,4,1163.41,6
72,256,348,1,311.32,11
73,168,79,4,2491.75,39
74,339,385,1,4207.6,31
75,339,255,4,3972.98,16
76,441,277,5,4418.3,48
77,451,469,1,1041.16,28
78,227,236,3,384.25,11
79,400,156,5,7089.13,10
80,160,367,4,3173.74,48
81,252,338,1,4474.89,34
82,288,438,5,1334.86,3
83,303,498,4,3084.6,43
84,146,165,3,585.25,37
85,188,179,1,6495.47,37
86,321,175,1,3106.53,27
87,211,180,3,545.95,15
88,160,304,2,771.04,44
89,59,173,1,1441.26,34
90,337,443,3,3437.54,32
91,357,241,4,4745.11,20
92,166,294,4,872.03,31
93,106,173,1,4024.18,48
94,154,187,3,7758.48,12
95,499,404,4,695.04,34
96,25,153,2,7970.2,25
97,491,48,2,5769.88,37
98,140,35,1,4574.78,33
99,178,408,4,705.63,19
100,222,340,5,4365.59,12
101,320,264,4,3680.51,48
102,10,322,5,5656.32,11
103,339,493,5,6608.87,29
104,273,415,3,4953.94,49
105,373,321,4,573.07,12
106,124,78,3,5996.82,48
107,211,164,3,6895.47,4
108,137,422,2,2367.65,10
109,121,208,3,1984.02,9
110,409,424,-2,2553.27,31
111,217,332,5,7254.68,12
112,15,133,2,6338.39,17
113,437,22,5,7713.92,31
114,460,43,1,2579.85,19
115,209,460,1,2971.13,42
116,430,371,1,6757.73,15
117,257,478,1,1053.08,42
118,477,269,5,2089.28,5
119,396,414,2,2575.94,37
120,381,121,4,7490.45,13
121,110,497,2,2268.92,26
122,29,252,3,4314.41,44
123,217,244,1,5493.63,17
124,367,189,2,6588.79,1
125,379,340,5,6411.64,3
126,197,159,2,5147.7,44
127,351,63,3,4325.79,15
128,466,492,4,3204.51,16
129,422,388,3,1960.14,13
130,324,163,2,7047.79,49
131,141,444,4,732.75,49
132,212,475,4,6745.19,45
133,420,52,4,6612.77,44
134,181,216,3,4856.72,35
135,15,391,3,511.58,41
136,406,329,2,1175.13,25
137,161,295,2,749.63,10
138,497,394,2,6661.91,48
139,352,211,2,6361.87,20
140,377,69,4,2159.37,43
141,410,145,5,1669.44,26
142,449,194,3,7563.58,36
143,12,473,-2,4512.39,39
144,499,237,2,1666.3,44
145,317,220,2,4843.1,9
146,88,485,1,4581.22,0
147,472,476,5,3684.29,43
148,366,105,4,1605.3,50
149,254,196,3,1128.57,13
150,422,145,5,5840.99,12
151,406,75,4,327.31,16
152,465,128,2,3020.14,43
153,241,69,4,6984.4,44
154,366,197,4,5696.78,47
155,49,286,5,564.14,21
156,182,311,2,7520.64,38
157,259,318,-1,3109.41,25
158,457,287,3,424.89,11
159,253,477,3,2779.5,29
160,364,272,2,3520.14,16
161,66,256,1,6986.27,17
162,145,463,3,7027.8,39
163,224,458,3,1403.37,47
164,78,285,4,6838.97,42
165,77,28,4,1915.9,2
166,362,240,4,3547.8,31
167,364,288,1,3933.08,31
168,444,76,1,1076.87,5
169,93,428,2,1429.53,32
170,340,300,3,1777.93,0
171,93,214,5,7371.26,15
172,455,169,4,305.1,43
173,303,476,1,7614.64,20
174,236,426,-2,5690.88,30
175,138,305,4,5298.25,21
176,487,232,1,2666.83,46
177,442,25,5,6432.31,18
178,381,37,3,4422.53,38
179,131,92,4,1996.63,49
180,437,107,4,1387.23,49
181,386,489,4,5267.11,7
182,222,377,3,6470.19,19
183,341,50,5,6673.22,32
184,454,199,2,3863.87,36
185,388,217,5,6506.86,39
186,219,48,2,419.46,21
187,332,352,4,5737.72,31
188,269,43,5,2396.55,27
189,245,154,1,1273.99,8
190,268,219,3,2434.3,3
191,24,263,5,950.29,27
192,339,369,4,4590.98,16
193,42,394,3,4077.21,7
194,94,432,4,3204.36,5
195,153,161,4,4738.95,29
196,136,175,4,7737.09,11
197,383,310,2,2148.61,43
198,10,3,1,3219.98,0
199,236,355,2,3300.22,42
200,156,317,5,6523.75,39
201,494,354,3,5433.31,19
202,8,98,1,984.11,1
203,108,247,2,5224.12,41
204,321,440,2,6341.09,12
205,238,76,1,3844.51,1
206,79,379,1,5650.53,31
207,231,300,-4,2016.77,18
208,201,27,5,2737.42,6
209,435,254,4,5922.92,38
210,19,250,5,3257.47,32
211,479,348,5,7250.08,31
212,271,10,2,3433.84,20
213,458,332,5,3395.39,30
214,481,331,1,2839.44,44
215,148,372,-4,1618.39,22
216,113,301,4,7281.65,21
217,367,337,5,3800.89,18
218,427,482,4,5417.55,47
219,410,498,3,6771.8,39
220,384,45,2,5369.75,8
221,311,252,2,897.14,26
222,108,286,4,471.69,1
223,183,347,3,1352.98,32
224,173,221,1,1000.36,14
225,250,133,1,7949.94,50
226,395,450,3,4500.48,9
227,54,362,5,498.33,28
228,387,57,4,7799.81,50
229,440,486,5,904.76,35
230,86,323,1,1032.67,13
231,150,363,3,3587.99,32
232,51,79,4,5212.03,21
233,104,225,2,7760.13,49
