order_id,customer_id,order_date,status,region_code
1,319.0,01-03-2026,DELIVERED,WEST
2,469.0,2024-11-05 00:09:25,DELIVERED,EAST
3,13.0,2024-10-05 18:30:41,DELIVERED,WEST
4,,2026-07-08 14:46:32,SHIPPED,EAST
5,264.0,2025-08-04 07:40:08,RETURNED,NORTH
6,321.0,2024-08-14 06:37:41,SHIPPED,WEST
7,428.0,2026-04-27 12:35:01,CANCELLED,NORTH
8,383.0,10-07-2026,DELIVERED,NORTH
9,45.0,2026-04-20 21:25:10,DELIVERED,NORTH
10,295.0,2025-05-07 14:08:40,CANCELLED,WEST
11,231.0,2025-03-27 20:14:34,PLACED,WEST
12,345.0,27-05-2026,RETURNED,NORTH
13,388.0,14-05-2026,PLACED,EAST
14,476.0,2025-10-03 02:42:10,DELIVERED,NORTH
15,145.0,2025-02-26 02:59:33,CANCELLED,NORTH
16,243.0,2024-12-21 00:31:36,CANCELLED,EAST
17,492.0,2026-02-18 17:11:06,DELIVERED,NORTH
18,284.0,2025-08-17 19:27:16,PLACED,NORTH
19,294.0,2025-05-27 01:56:14,PLACED,EAST
20,108.0,2026-02-08 10:06:52,DELIVERED,SOUTH
21,212.0,2024-11-11 02:51:05,SHIPPED,SOUTH
22,95.0,2025-08-28 11:26:47,SHIPPED,NORTH
23,93.0,2025-06-14 13:25:16,PLACED,WEST
24,331.0,2026-06-26 20:04:31,PLACED,EAST
25,51.0,2024-09-02 05:22:39,DELIVERED,EAST
26,66.0,2025-04-20 03:00:30,DELIVERED,NORTH
27,461.0,2026-04-29 22:37:37,DELIVERED,EAST
28,356.0,2026-02-27 05:16:51,DELIVERED,EAST
29,491.0,09-07-2025,SHIPPED,SOUTH
30,365.0,2024-11-05 08:44:31,DELIVERED,SOUTH
31,348.0,2025-08-22 23:25:43,CANCELLED,WEST
32,184.0,2025-03-28 00:21:05,PLACED,SOUTH
33,331.0,2024-08-15 14:05:45,SHIPPED,SOUTH
34,135.0,2025-12-14 20:33:22,PLACED,NORTH
35,435.0,13-05-2025,RETURNED,WEST
36,394.0,2024-10-22 00:46:03,RETURNED,EAST
37,279.0,2025-04-30 13:56:36,SHIPPED,EAST
38,201.0,2026-04-30 23:54:20,DELIVERED,SOUTH
39,238.0,2024-12-24 03:34:18,DELIVERED,NORTH
40,340.0,2025-02-17 10:38:53,RETURNED,SOUTH
41,388.0,2025-02-22 05:38:26,SHIPPED,SOUTH
42,377.0,2026-07-10 14:56:13,PLACED,SOUTH
43,390.0,2025-04-17 01:30:26,DELIVERED,SOUTH
44,22.0,2024-12-21 18:47:28,DELIVERED,WEST
45,241.0,2025-06-15 02:52:05,PLACED,EAST
46,53.0,2025-06-11 13:50:28,DELIVERED,EAST
47,297.0,2026-02-09 21:38:24,CANCELLED,EAST
48,301.0,2025-05-03 02:52:37,RETURNED,EAST
49,193.0,2025-05-29 01:30:07,CANCELLED,EAST
50,419.0,2025-07-04 16:28:09,CANCELLED,NORTH
51,257.0,2025-09-30 20:11:09,SHIPPED,NORTH
52,264.0,2026-07-25 18:38:22,SHIPPED,SOUTH
53,186.0,2025-12-23 13:20:11,SHIPPED,WEST
54,416.0,2026-03-27 04:30:17,CANCELLED,WEST
55,108.0,2026-01-17 23:29:44,CANCELLED,NORTH
56,,2026-03-19 19:22:57,SHIPPED,SOUTH
57,323.0,2025-09-19 02:27:36,SHIPPED,NORTH
58,86.0,2026-04-26 22:53:55,CANCELLED,NORTH
59,450.0,2024-12-30 15:47:28,DELIVERED,NORTH
60,111.0,2026-03-16 20:22:39,CANCELLED,SOUTH
61,113.0,2026-01-30 22:16:08,RETURNED,SOUTH
62,320.0,2025-07-20 22:41:11,DELIVERED,WEST
63,306.0,2024-08-16 13:18:07,CANCELLED,SOUTH
64,,2025-06-13 08:24:10,RETURNED,WEST
65,424.0,2024-11-15 15:59:52,CANCELLED,NORTH
66,450.0,2026-05-23 22:53:34,PLACED,NORTH
67,247.0,2025-11-13 02:47:34,RETURNED,NORTH
68,460.0,2025-09-03 12:01:53,CANCELLED,WEST
69,190.0,2025-03-28 01:41:00,CANCELLED,SOUTH
70,481.0,2025-07-30 21:41:48,CANCELLED,EAST
71,302.0,2025-02-08 18:27:40,RETURNED,NORTH
72,218.0,2026-04-28 13:20:58,SHIPPED,NORTH
73,146.0,2024-09-13 06:55:17,DELIVERED,SOUTH
74,3.0,2024-10-20 17:41:01,RETURNED,NORTH
75,,2024-12-06 18:08:11,DELIVERED,WEST
76,186.0,2025-01-13 19:58:28,RETURNED,EAST
